roomAquamentus,room14,4,4,,,,,,,,
small,tealBack,roomBorder,,,,,,,,,
,room15,room12,,,,,,,,,
wall,shut,locked,wall,,,,,,,,
---,---,---,---,---,---,---,block,block,block,block,block
---,---,---,---,---,---,---,---,---,block,block,block
---,---,---,---,---,---,---,---,aquamentus,---,block,block
---,---,---,---,---,---,---,---,---,---,hrtcontainer,---
---,---,---,---,---,---,---,---,---,---,block,block
---,---,---,---,---,---,---,---,---,block,block,block
---,---,---,---,---,---,---,block,block,block,block,block
