roomWithKey,room17,2,5,,,,,,,,
small,tealBack,roomBorder,,,,,,,,,
,,room13,room16,,,,,,,,
wall,wall,locked,locked,,,,,,,,
---,---,---,---,---,---,---,goriya,---,---,---,key
---,water,water,water,---,---,---,---,water,water,water,---
---,water,---,---,---,---,goriya,---,---,---,water,---
---,water,---,water,water,water,water,water,water,---,water,---
---,water,---,---,---,---,---,---,---,goriya,water,---
---,water,water,water,---,---,---,---,water,water,water,---
---,---,---,---,---,---,---,---,---,---,---,---
